V1.V,P(D1)/-P(V1) when R1.R is 95,P(D1)/-P(V1) when R1.R is 100,P(D1)/-P(V1) when R1.R is 105,I(D1.nA) when R1.R is 95,I(D1.nA) when R1.R is 100,I(D1.nA) when R1.R is 105
4.68,0.452955683,0.450040088,0.447323668,0.026949131,0.025738124,0.024633574
4.69,0.452213665,0.449298385,0.446582377,0.027043346,0.025827906,0.024719321
4.7,0.451474483,0.448559518,0.44584392,0.027137578,0.025917703,0.024805082
4.71,0.450738123,0.44782347,0.445108282,0.027231826,0.026007515,0.024890857
4.72,0.450004567,0.447090227,0.444375446,0.027326089,0.026097341,0.024976647
4.73,0.449273801,0.446359771,0.443645398,0.027420368,0.026187183,0.02506245
4.74,0.448545808,0.445632088,0.442918121,0.027514662,0.026277039,0.025148268
4.75,0.447820572,0.444907162,0.442193599,0.027608971,0.02636691,0.025234099
4.76,0.44709808,0.444184978,0.441471817,0.027703296,0.026456795,0.025319944
4.77,0.446378314,0.44346552,0.440752761,0.027797636,0.026546695,0.025405803
4.78,0.44566126,0.442748772,0.440036414,0.027891991,0.026636609,0.025491676
4.79,0.444946903,0.442034721,0.439322762,0.027986361,0.026726537,0.025577562
4.8,0.444235227,0.441323351,0.438611789,0.028080746,0.026816479,0.025663461
4.81,0.443526219,0.440614646,0.437903481,0.028175146,0.026906436,0.025749374
4.82,0.442819863,0.439908593,0.437197823,0.028269561,0.026996406,0.0258353
4.83,0.442116144,0.439205176,0.4364948,0.02836399,0.02708639,0.025921239
4.84,0.441415048,0.438504381,0.435794398,0.028458433,0.027176388,0.026007192
4.85,0.44071656,0.437806193,0.435096602,0.028552891,0.0272664,0.026093157
4.86,0.440020666,0.437110599,0.434401397,0.028647364,0.027356425,0.026179135
4.87,0.439327352,0.436417583,0.433708771,0.02874185,0.027446464,0.026265127
4.88,0.438636604,0.435727132,0.433018708,0.028836351,0.027536516,0.026351131
4.89,0.437948407,0.435039232,0.432331194,0.028930866,0.027626582,0.026437147
4.9,0.437262748,0.434353869,0.431646215,0.029025395,0.02771666,0.026523177
4.91,0.436579613,0.433671028,0.430963758,0.029119938,0.027806753,0.026609219
4.92,0.435898987,0.432990696,0.430283809,0.029214495,0.027896858,0.026695273
4.93,0.435220858,0.43231286,0.429606354,0.029309065,0.027986976,0.02678134
4.94,0.434545211,0.431637505,0.42893138,0.029403649,0.028077107,0.026867419
4.95,0.433872034,0.430964619,0.428258872,0.029498247,0.028167251,0.02695351
4.96,0.433201312,0.430294188,0.427588819,0.029592858,0.028257408,0.027039614
4.97,0.432533033,0.429626198,0.426921206,0.029687482,0.028347578,0.02712573
4.98,0.431867184,0.428960637,0.42625602,0.02978212,0.02843776,0.027211857
4.99,0.43120375,0.428297491,0.425593248,0.029876771,0.028527955,0.027297997
5,0.43054272,0.427636747,0.424932877,0.029971436,0.028618163,0.027384149
